iter	RMSE
0	0.9864996637
1	0.9773817347
2	0.969156248
3	0.9603259979
4	0.9533533003
5	0.9455704156
6	0.9373762695
7	0.9297422039
8	0.9224007599
9	0.9151136448
10	0.9095609705
11	0.9031466363
12	0.8967693382
13	0.8906065353
14	0.88482312
15	0.8800278703
16	0.8751353613
17	0.8689401104
18	0.863693008
19	0.8587967461
20	0.8537597969
21	0.8487571285
22	0.8445517113
23	0.840377772
24	0.835917424
25	0.8309743752
26	0.8266943026
27	0.8228087346
28	0.8175374624
29	0.8135601001
30	0.8096472618
31	0.8062009131
32	0.8022046367
33	0.7988049599
34	0.7958029654
35	0.7924151545
36	0.78926198
37	0.7859190325
38	0.7829769749
39	0.7797377028
40	0.776595631
41	0.7736362567
42	0.771577571
43	0.7690240776
44	0.7662329954
45	0.7639595649
46	0.7612481566
47	0.7590037858
48	0.7562846146
49	0.7539272121
50	0.7515511744
51	0.7492526371
52	0.7458766803
53	0.7434070393
54	0.7414081094
55	0.7395734591
56	0.7384405989
57	0.7365248712
58	0.7347975837
59	0.7343053148
60	0.7338240467
61	0.7321305375
62	0.7299480357
63	0.7284548804
64	0.7273499706
65	0.7259838025
66	0.7245478655
67	0.7230235862
68	0.7207579127
69	0.7185481987
70	0.717298713
71	0.7163082391
72	0.7145495964
73	0.7132335955
74	0.7112601948
75	0.709757601
76	0.708985276
77	0.7079832629
78	0.7068481503
79	0.705321783
80	0.7042455276
81	0.7032451221
82	0.7023307327
83	0.7012092081
84	0.6997322441
85	0.6987791796
86	0.6973764736
87	0.6965145634
88	0.6948801155
89	0.6940621632
90	0.6936818628
91	0.6927941674
92	0.6915946411
93	0.6907386909
94	0.6901031502
95	0.6884167339
96	0.6875340075
97	0.6869324204
98	0.6862890994
99	0.6846166894
100	0.683374292
101	0.6819549747
102	0.6803636823
103	0.6794408957
104	0.6780302785
105	0.6770860062
106	0.6761863356
107	0.6748177918
108	0.6734288954
109	0.6722458853
110	0.6716707996
111	0.6709649136
112	0.6706014956
113	0.6685049381
114	0.6679642357
115	0.6673002976
116	0.6661433388
117	0.6655018625
118	0.6640608727
119	0.6632788814
120	0.6612358137
121	0.6609871764
122	0.6599461203
123	0.6593398624
124	0.6583467207
125	0.657917189
126	0.6571115144
127	0.6565554173
128	0.6562085929
129	0.6551149037
130	0.6544392264
131	0.6540040698
132	0.6525546183
133	0.6520580422
134	0.6514331922
135	0.6511259479
136	0.650803277
137	0.6503884675
138	0.6498580938
139	0.6486284439
140	0.6482109209
141	0.6475148924
142	0.6469444216
143	0.6465508979
144	0.6454579726
145	0.6452804091
146	0.644664201
147	0.6440428604
148	0.6433817466
149	0.6425123365
150	0.6419583322
151	0.6414518149
152	0.6408558716
153	0.6403525318
154	0.639445536
155	0.6381563478
156	0.6375369745
157	0.6368588899
158	0.6364931241
159	0.6364447664
160	0.6358396818
161	0.6354320978
162	0.6351305974
163	0.6346127062
164	0.6342089027
165	0.6335079343
166	0.6324756668
167	0.6324704331
168	0.6318442705
169	0.6311985643
170	0.6307121335
171	0.6305737379
172	0.6300713363
173	0.629027555
174	0.6287310227
175	0.6286937713
176	0.6283537989
177	0.6278441031
178	0.6271643127
179	0.6263222506
180	0.6259667485
181	0.6255514453
182	0.6251355366
183	0.6232677158
184	0.6227953732
185	0.6220589149
186	0.6217347432
187	0.6211899545
188	0.6208419065
189	0.6207604229
190	0.6203078069
191	0.6196321265
192	0.6192183382
193	0.6186636977
194	0.617929174
195	0.6173439558
196	0.6169503496
197	0.6165656472
198	0.6161827525
199	0.6152896947
200	0.6149090664
201	0.6143529128
202	0.613063409
203	0.612654905
204	0.6121402492
205	0.610987578
206	0.6106076038
207	0.609359877
208	0.6091988591
209	0.6091181273
210	0.6089153765
211	0.6078386598
212	0.6077449195
213	0.6065179711
214	0.6063871602
215	0.6056555809
216	0.6055921054
217	0.6051626217
218	0.604918184
219	0.6041652417
220	0.6035948997
221	0.602720128
222	0.6024674444
223	0.6020235195
224	0.6012990701
225	0.600837437
226	0.6003848645
227	0.5991408272
228	0.5983436771
229	0.5977877468
230	0.5969135437
231	0.5964993727
232	0.5964020458
233	0.5957205216
234	0.5952856883
235	0.5950063881
236	0.5944112596
237	0.5940945946
238	0.5938038627
239	0.5931524685
240	0.5921338143
241	0.5913358589
242	0.5910660645
243	0.5907145563
244	0.5899678646
245	0.5896722698
246	0.5886809577
247	0.588506695
248	0.5877053938
249	0.5872604815
250	0.586924723
251	0.5866251128
252	0.5861278331
253	0.5853921609
254	0.5844971879
255	0.5839269764
256	0.5834430908
257	0.5832582244
258	0.5828317641
259	0.5826436163
260	0.5818776809
261	0.581333952
262	0.580824193
263	0.5803110695
264	0.5802259585
265	0.5800727339
266	0.579784379
267	0.5790028037
268	0.57879327
269	0.5786289304
270	0.5781228317
271	0.5777927238
272	0.5776193049
273	0.5771386833
274	0.5766858163
275	0.57655517
276	0.5759716667
277	0.5751176887
278	0.5748733477
279	0.5745090642
280	0.5743518203
281	0.5732891557
282	0.5729696923
283	0.5722932175
284	0.571859319
285	0.5713860007
286	0.5706201856
287	0.5702797994
288	0.5696976909
289	0.5690168744
290	0.5687679474
291	0.5685415862
292	0.5681875016
293	0.567115865
294	0.5658726811
295	0.5657749907
296	0.5650004734
297	0.5643950888
298	0.5640707687
299	0.5631208254
300	0.562541037
301	0.5623756295
302	0.5623014497
303	0.5621813497
304	0.561613334
305	0.5611808033
306	0.5610533996
307	0.5606168964
308	0.5603381477
309	0.5599708342
310	0.5587036167
311	0.5585097501
312	0.5581907439
313	0.5578165976
314	0.5568976194
315	0.5567572656
316	0.5563636209
317	0.5563006991
318	0.5560928001
319	0.5559464395
320	0.555765327
321	0.555259871
322	0.5544722886
323	0.5541879191
324	0.5540526161
325	0.5533567085
326	0.5525507662
327	0.5521537103
328	0.5514749369
329	0.5510041124
330	0.5504696659
331	0.5502390397
332	0.5499973299
333	0.5497773358
334	0.5491029617
335	0.5483344829
336	0.548169696
337	0.5480029411
338	0.5471959301
339	0.5470850491
340	0.5467007858
341	0.5465339676
342	0.546451664
343	0.5462201259
344	0.5456623668
345	0.5449766279
346	0.5441771366
347	0.5440775014
348	0.5439151539
349	0.5430244029
350	0.5425526856
351	0.5424169953
352	0.5420585441
353	0.541880648
354	0.5406049558
355	0.5402084503
356	0.5392411359
357	0.5391671163
358	0.5388862071
