iter	Passed	Remaining
0	157	78417
1	166	41519
2	177	29479
3	188	23335
4	199	19747
5	210	17337
6	221	15623
7	233	14331
8	244	13325
9	255	12510
10	266	11842
11	277	11274
12	288	10799
13	299	10383
14	310	10039
15	317	9590
16	328	9333
17	339	9092
18	351	8891
19	362	8694
20	373	8517
21	384	8353
22	395	8199
23	406	8059
24	417	7932
25	429	7827
26	444	7782
27	455	7683
28	467	7591
29	479	7512
30	493	7460
31	508	7440
32	524	7416
33	538	7379
34	553	7355
35	573	7387
36	589	7374
37	604	7352
38	621	7342
39	637	7326
40	654	7331
41	673	7341
42	687	7310
43	702	7281
44	715	7237
45	728	7185
46	740	7136
47	750	7067
48	763	7027
49	776	6985
50	788	6939
51	801	6905
52	814	6866
53	826	6827
54	841	6806
55	853	6769
56	864	6721
57	877	6686
58	890	6657
59	895	6568
60	909	6542
61	922	6515
62	936	6497
63	950	6475
64	964	6451
65	978	6432
66	992	6412
67	1009	6415
68	1026	6412
69	1041	6398
70	1054	6371
71	1092	6496
72	1104	6457
73	1116	6428
74	1128	6396
75	1140	6364
76	1152	6328
77	1163	6295
78	1175	6263
79	1186	6230
80	1197	6196
81	1209	6164
82	1220	6129
83	1231	6097
84	1243	6069
85	1255	6042
86	1266	6012
87	1278	5986
88	1290	5961
89	1312	5977
90	1316	5916
91	1329	5896
92	1343	5880
93	1358	5867
94	1373	5853
95	1390	5851
96	1404	5834
97	1420	5828
98	1434	5812
99	1452	5808
100	1467	5795
101	1501	5859
102	1516	5843
103	1546	5889
104	1561	5875
105	1572	5846
106	1585	5824
107	1612	5852
108	1626	5835
109	1664	5902
110	1676	5875
111	1688	5849
112	1699	5821
113	1711	5794
114	1722	5767
115	1733	5739
116	1745	5713
117	1756	5687
118	1771	5670
119	1781	5640
120	1791	5611
121	1803	5587
122	1814	5562
123	1828	5545
124	1864	5594
125	1880	5580
126	1894	5564
127	1909	5548
128	1922	5529
129	1937	5514
130	1951	5496
131	1964	5478
132	1982	5469
133	1996	5453
134	2039	5514
135	2050	5487
136	2061	5461
137	2072	5436
138	2083	5411
139	2094	5386
140	2106	5362
141	2117	5338
142	2128	5313
143	2139	5289
144	2150	5266
145	2159	5236
146	2171	5213
147	2182	5189
148	2193	5167
149	2204	5143
150	2215	5120
151	2226	5097
152	2237	5075
153	2248	5052
154	2259	5029
155	2270	5006
156	2281	4984
157	2292	4962
158	2303	4940
159	2308	4904
160	2318	4882
161	2329	4860
162	2341	4841
163	2353	4822
164	2364	4801
165	2376	4782
166	2390	4767
167	2405	4753
168	2418	4736
169	2432	4721
170	2457	4728
171	2472	4715
172	2489	4706
173	2505	4693
174	2518	4677
175	2532	4662
176	2546	4647
177	2599	4702
178	2615	4689
179	2629	4674
180	2662	4692
181	2673	4671
182	2685	4652
183	2698	4634
184	2712	4618
185	2728	4606
186	2755	4612
187	2804	4654
188	2819	4639
189	2833	4623
190	2847	4606
191	2861	4590
192	2876	4575
193	2898	4571
194	2912	4555
195	2926	4538
196	2937	4518
197	2949	4498
198	2960	4478
199	2971	4457
200	2983	4438
201	2996	4420
202	3007	4400
203	3019	4380
204	3030	4361
205	3042	4341
206	3052	4321
207	3063	4301
208	3074	4280
209	3083	4258
210	3095	4240
211	3108	4222
212	3157	4253
213	3177	4246
214	3194	4234
215	3208	4219
216	3223	4203
217	3253	4208
218	3267	4192
219	3282	4177
220	3297	4162
221	3311	4146
222	3329	4135
223	3344	4121
224	3359	4105
225	3373	4090
226	3397	4085
227	3412	4071
228	3425	4054
229	3437	4035
230	3448	4016
231	3460	3997
232	3471	3978
233	3483	3959
234	3494	3940
235	3509	3925
236	3520	3907
237	3532	3888
238	3543	3870
239	3556	3852
240	3567	3834
241	3579	3815
242	3591	3797
243	3602	3779
244	3612	3760
245	3623	3741
246	3634	3722
247	3640	3699
248	3651	3681
249	3664	3664
250	3676	3646
251	3687	3629
252	3698	3611
253	3713	3596
254	3728	3582
255	3743	3568
256	3758	3554
257	3771	3537
258	3811	3546
259	3826	3531
260	3841	3517
261	3857	3504
262	3872	3489
263	3887	3475
264	3901	3460
265	3915	3444
266	3930	3429
267	3944	3414
268	3969	3408
269	3987	3396
270	4002	3381
271	4018	3368
272	4032	3353
273	4077	3363
274	4089	3346
275	4101	3328
276	4112	3310
277	4123	3293
278	4134	3275
279	4145	3257
280	4156	3239
281	4167	3221
282	4178	3204
283	4189	3186
284	4200	3168
285	4211	3151
286	4222	3133
287	4233	3116
288	4245	3099
289	4256	3082
290	4267	3064
291	4278	3047
292	4289	3030
293	4300	3013
294	4311	2996
295	4324	2980
296	4335	2963
297	4348	2947
298	4362	2932
299	4387	2925
300	4401	2910
301	4417	2896
302	4422	2875
303	4436	2860
304	4451	2846
305	4466	2831
306	4479	2816
307	4495	2802
308	4508	2786
309	4529	2776
310	4543	2761
311	4560	2748
312	4577	2734
313	4604	2727
314	4616	2711
315	4628	2695
316	4639	2678
317	4650	2661
318	4661	2645
319	4673	2628
320	4683	2611
321	4695	2595
322	4705	2578
323	4716	2562
324	4728	2546
325	4741	2530
326	4751	2513
327	4762	2497
328	4772	2480
329	4783	2464
330	4794	2447
331	4805	2431
332	4817	2415
333	4828	2399
334	4839	2383
335	4851	2367
336	4861	2351
337	4872	2335
338	4883	2319
339	4895	2303
340	4906	2287
341	4917	2271
342	4928	2255
343	4939	2240
344	4950	2224
345	4961	2208
346	4972	2192
347	4987	2178
348	4999	2163
349	5010	2147
350	5022	2132
351	5034	2116
352	5045	2101
353	5059	2086
354	5070	2070
355	5081	2055
356	5092	2039
357	5103	2024
358	5114	2008
359	5126	1993
360	5141	1979
361	5153	1964
362	5194	1960
363	5209	1946
364	5224	1932
365	5239	1918
366	5253	1903
367	5273	1891
368	5288	1877
369	5302	1863
